Trade_Num,Datetime,Timestamp,Block,Price,Lower,Upper,Holder_PNL,LP_PNL,IL,Fees,Fee-IL,AMM_PNL,Holder_PNL(%),LP_PNL(%),IL(%),Fees(%),Fee-IL(%),AMM_PNL(%)
1,2021-09-01 08:49:51,1630457391.0,13136637.0,3407.029141149369,2612.359853016251,4429.238055812336,,,,,,,,,,,,
,2021-09-01 23:48:52,1630511332.0,13140666.0,3579.1961178920947,2612.359853016251,4429.238055812336,2512.3190906160016,2260.503401073598,251.81568954240356,75.43232110778283,-176.38336843462073,2335.9357221813807,2.5123190906160016,2.2605034010735983,0.2518156895424036,0.07543232110778282,-0.17638336843462074,2.335935722181381
2,2021-09-02 00:59:19,1630515559.0,13140974.0,3733.0893031296127,2858.3641091442933,4846.336569968438,,,,,,,,,,,,
,2021-09-03 17:57:03,1630663023.0,13152055.0,3953.231151079749,2858.3641091442933,4846.336569968438,2985.3209091794706,2635.7996151412954,349.52129403817526,345.04499556261067,-4.47629847556459,2980.8446107039063,2.9853209091794706,2.6357996151412952,0.3495212940381753,0.34504499556261065,-0.00447629847556459,2.9808446107039064
3,2021-09-03 18:57:36,1630666656.0,13152333.0,3944.9384906294677,3035.10636969717,5115.219816271247,,,,,,,,,,,,
,2021-09-07 17:53:52,1631008432.0,13177966.0,3718.1875144395453,3035.10636969717,5115.219816271247,-3013.7218247752753,-3379.842932261279,366.1211074860039,363.0755804612468,-3.0455270247571207,-3016.7673518000324,-3.0137218247752755,-3.3798429322612793,0.3661211074860039,0.36307558046124677,-0.0030455270247571205,-3.016767351800032
4,2021-09-07 18:41:10,1631011270.0,13178162.0,3766.083802181941,2910.2778898954334,4904.840002274623,,,,,,,,,,,,
,2021-09-07 22:59:41,1631026781.0,13179310.0,3472.7255162509705,2910.2778898954334,4904.840002274623,-4030.0510585256125,-4690.253482023385,660.2024234977725,112.07920562137362,-548.1232178763989,-4578.174276402011,-4.030051058525612,-4.690253482023385,0.6602024234977726,0.11207920562137362,-0.548123217876399,-4.578174276402011
5,2021-09-07 23:59:19,1631030359.0,13179597.0,3465.4408085162786,2675.8116935287962,4509.682143599628,,,,,,,,,,,,
,2021-09-08 14:57:41,1631084261.0,13183604.0,3301.3856254797483,2675.8116935287962,4509.682143599628,-2333.005371943931,-2562.236453538906,229.23108159497497,577.2091663817341,347.97808478675915,-1985.027287157172,-2.333005371943931,-2.562236453538906,0.22923108159497496,0.5772091663817341,0.3479780847867591,-1.985027287157172
